downloadId,eulaCode,url,downloadEntity,entityType
367953566,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221108_20221118_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NjYsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJDk1UkNRMWtjNHkwSmRcL0loTzF0M3lLZ2tOTHFLcWJvQXBvcDh5NW9TXC9RMCJ9,LC08_CU_028006_20221108_20221118_02,BT
367953567,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221210_20221223_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NjcsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHZWWXZRQVd6a1wvXC90cjhnaktZTlZ1MXNUYS44YXkuVEVGYmRrZmtkZ0RXOSJ9,LC08_CU_028006_20221210_20221223_02,QA
367953568,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221210_20221223_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NjgsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGkuMzRVaFlaeGlYYkxlZDRJUkttLkFIWWRtTDJZNzdNVkthRmZOandYcjgifQ==,LC08_CU_028006_20221210_20221223_02,MTL
367953569,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221210_20221223_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NjksImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJDNkekU3Q0lwbXg5bGg2bFRrYlY3a25oN2Y4V2l3VXVyZ2hPR1dlNUJiVDMifQ==,LC08_CU_028006_20221210_20221223_02,SR
367953571,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221210_20221223_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NzEsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHhsQWJWNC5ndUxDSkFyNE50SHVpOGRBYUpGUGJsQURVZ0p6cTV2RjhVUlwvIn0=,LC08_CU_028006_20221210_20221223_02,ST
367953572,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221210_20221223_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NzIsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJEk4TVE0UTg0WFF4M1dUTFpPWmVjQlcyRks4Ri5VY01NQ1FLbjR2czNWZzcifQ==,LC08_CU_028006_20221210_20221223_02,TOA
367953573,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221210_20221223_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NzMsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJEhJTkFZSjBnWktlWlJtWFBFR2IwSEswNC4uZU11NEZOTVhpbWZlUjQwdEQifQ==,LC08_CU_028006_20221210_20221223_02,BT
367953574,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20220921_20221002_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NzQsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFJhRlAySmVzY05iOG05ZDhvd0cycVVHclV3RGhBclBXRU44Z3REWTVlYkQifQ==,LC08_CU_028007_20220921_20221002_02,QA
367953575,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20220921_20221002_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NzUsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJEt2aXFHb1RQZng0MEg3WU1uLlFJRXRpSzBCT2dsUGJRZnhrcElWa3d6YUIifQ==,LC08_CU_028007_20220921_20221002_02,MTL
367953576,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20220921_20221002_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NzYsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGREYWZyc2UwaDR3RmxIUE82NzBxdGV1aDFaOTAweXZWNnhBS0dBMUxOLkQifQ==,LC08_CU_028007_20220921_20221002_02,SR
